  Ionization Rate(jt,jn) (cm**3 s**-1)  Te(jt) = 10**(-1.2 + (jt-1)/10) jt=1,60
  jn =   1; jt = 1 -> 60 going by rows   ne(jn) = 10**(10 + 0.5*(jn-1)) jn=1,15 
  1.64465E-09  3.16761E-09  5.43005E-09  8.47652E-09  1.22614E-08  1.66559E-08
  2.14659E-08  2.64585E-08  3.13867E-08  3.60163E-08  4.01455E-08  4.36201E-08
  4.63404E-08  4.82614E-08  4.93876E-08  4.97636E-08  4.94634E-08  4.85792E-08
  4.72115E-08  4.54617E-08  4.34258E-08  4.11910E-08  3.88330E-08  3.64158E-08
  3.39918E-08  3.16022E-08  2.92787E-08  2.70443E-08  2.49151E-08  2.29015E-08
  2.10091E-08  1.92399E-08  1.75932E-08  1.60663E-08  1.46550E-08  1.33540E-08
  1.21576E-08  1.10595E-08  1.00533E-08  9.13287E-09  8.29188E-09  7.52437E-09

  jn =   7
  2.90005-100  1.27796E-79  3.12560E-64  2.69544E-52  7.73995E-43  2.43034E-35
  2.11319E-29  1.02193E-24  4.54311E-21  2.85179E-18  3.96310E-16  1.80936E-14
  3.60163E-13  3.80427E-12  2.46084E-11  1.08721E-10  3.57099E-10  9.31000E-10
  2.02642E-09  3.82700E-09  6.45704E-09  9.95142E-09  1.42473E-08  1.91936E-08
  2.45714E-08  3.01215E-08  3.55719E-08  4.06655E-08  4.51828E-08  4.89570E-08
  5.18818E-08  5.39117E-08  5.50556E-08  5.53663E-08  5.49287E-08  5.38474E-08
  5.22356E-08  5.02071E-08  4.78695E-08  4.53197E-08  4.26424E-08  3.99086E-08
  3.71762E-08  3.44907E-08  3.18867E-08  2.93895E-08  2.70162E-08  2.47777E-08
  2.26794E-08  2.07230E-08  1.89071E-08  1.72279E-08  1.56800E-08  1.42570E-08
  1.29521E-08  1.17576E-08  1.06662E-08  9.67034E-09  8.76289E-09  7.93687E-09

  jn =   8
  9.51272-100  8.83190E-79  1.20370E-63  1.01414E-51  2.77456E-42  8.12520E-35
  6.49770E-29  2.87271E-24  1.16209E-20  6.55850E-18  8.10713E-16  3.29762E-14
  5.91797E-13  5.72967E-12  3.45572E-11  1.44536E-10  4.55019E-10  1.14808E-09
  2.43648E-09  4.51238E-09  7.50008E-09  1.14279E-08  1.62223E-08  2.17180E-08
  2.76795E-08  3.38284E-08  3.98718E-08  4.55313E-08  5.05673E-08  5.47954E-08
  5.80958E-08  6.04136E-08  6.17532E-08  6.21673E-08  6.17444E-08  6.05957E-08
  5.88435E-08  5.66117E-08  5.40188E-08  5.11730E-08  4.81695E-08  4.50891E-08
  4.19986E-08  3.89513E-08  3.59885E-08  3.31406E-08  3.04292E-08  2.78684E-08
  2.54661E-08  2.32255E-08  2.11457E-08  1.92236E-08  1.74534E-08  1.58283E-08
  1.43404E-08  1.29812E-08  1.17422E-08  1.06146E-08  9.59005E-09  8.66023E-09

  jn =   9
  2.82797E-99  3.14791E-78  3.91683E-63  3.24645E-51  8.54422E-42  2.36077E-34
  1.75922E-28  7.20284E-24  2.66619E-20  1.33965E-17  1.45066E-15  5.22044E-14
  8.47313E-13  7.58996E-12  4.31815E-11  1.72974E-10  5.27490E-10  1.30003E-09
  2.71138E-09  4.95725E-09  8.16181E-09  1.23511E-08  1.74482E-08  2.32836E-08
  2.96160E-08  3.61598E-08  4.26132E-08  4.86878E-08  5.41328E-08  5.87531E-08
  6.24185E-08  6.50655E-08  6.66910E-08  6.73426E-08  6.71053E-08  6.60888E-08
  6.44154E-08  6.22107E-08  5.95957E-08  5.66821E-08  5.35692E-08  5.03426E-08
  4.70742E-08  4.38221E-08  4.06328E-08  3.75418E-08  3.45753E-08  3.17519E-08
  2.90835E-08  2.65771E-08  2.42352E-08  2.20573E-08  2.00402E-08  1.81789E-08
  1.64670E-08  1.48971E-08  1.34613E-08  1.21513E-08  1.09587E-08  9.87508E-09

  jn =   10
  6.57984E-99  7.80104E-78  9.19187E-63  7.45410E-51  1.89893E-41  5.01873E-34
  3.53880E-28  1.35908E-23  4.63516E-20  2.08491E-17  2.01632E-15  6.63524E-14
  1.01025E-12  8.65481E-12  4.77334E-11  1.87091E-10  5.61830E-10  1.36954E-09
  2.83386E-09  5.15166E-09  8.44712E-09  1.27458E-08  1.79700E-08  2.39495E-08
  3.04416E-08  3.71591E-08  4.37975E-08  5.00653E-08  5.57081E-08  6.05268E-08
  6.43876E-08  6.72231E-08  6.90273E-08  6.98449E-08  6.97587E-08  6.88766E-08
  6.73199E-08  6.52132E-08  6.26771E-08  5.98232E-08  5.67511E-08  5.35466E-08
  5.02821E-08  4.70165E-08  4.37971E-08  4.06602E-08  3.76331E-08  3.47355E-08
  3.19806E-08  2.93766E-08  2.69274E-08  2.46338E-08  2.24941E-08  2.05049E-08
  1.86611E-08  1.69569E-08  1.53858E-08  1.39408E-08  1.26148E-08  1.14006E-08

  jn =   11
  1.04513E-98  1.25807E-77  1.47187E-62  1.17591E-50  2.93298E-41  7.53181E-34
  5.11731E-28  1.88123E-23  6.06731E-20  2.54520E-17  2.31355E-15  7.29334E-14
  1.07994E-12  9.08487E-12  4.95002E-11  1.92419E-10  5.74533E-10  1.39489E-09
  2.87805E-09  5.22128E-09  8.54876E-09  1.28859E-08  1.81549E-08  2.41852E-08
  3.07340E-08  3.75135E-08  4.42187E-08  5.05570E-08  5.62730E-08  6.11665E-08
  6.51025E-08  6.80125E-08  6.98895E-08  7.07773E-08  7.07580E-08  6.99389E-08
  6.84410E-08  6.63884E-08  6.39016E-08  6.10921E-08  5.80594E-08  5.48893E-08
  5.16541E-08  4.84129E-08  4.52129E-08  4.20905E-08  3.90732E-08  3.61804E-08
  3.34257E-08  3.08170E-08  2.83586E-08  2.60511E-08  2.38931E-08  2.18811E-08
  2.00103E-08  1.82750E-08  1.66689E-08  1.51852E-08  1.38171E-08  1.25577E-08

  jn =   12
  1.18417E-98  1.48432E-77  1.74982E-62  1.40531E-50  3.49597E-41  8.88321E-34
  5.93716E-28  2.13878E-23  6.72545E-20  2.73800E-17  2.42829E-15  7.53389E-14
  1.10455E-12  9.23374E-12  5.01045E-11  1.94231E-10  5.78845E-10  1.40349E-09
  2.89307E-09  5.24497E-09  8.58333E-09  1.29335E-08  1.82175E-08  2.42649E-08
  3.08326E-08  3.76327E-08  4.43599E-08  5.07215E-08  5.64619E-08  6.13803E-08
  6.53415E-08  6.82767E-08  7.01785E-08  7.10906E-08  7.10947E-08  7.02982E-08
  6.88217E-08  6.67894E-08  6.43217E-08  6.15301E-08  5.85140E-08  5.53594E-08
  5.21384E-08  4.89103E-08  4.57221E-08  4.26105E-08  3.96027E-08  3.67185E-08
  3.39712E-08  3.13689E-08  2.89157E-08  2.66125E-08  2.44576E-08  2.24476E-08
  2.05777E-08  1.88422E-08  1.72347E-08  1.57484E-08  1.43765E-08  1.31121E-08

  jn =   13
  1.02081E-98  1.34596E-77  1.72157E-62  1.43612E-50  3.62797E-41  9.32112E-34
  6.22555E-28  2.23142E-23  6.96138E-20  2.80526E-17  2.46719E-15  7.61373E-14
  1.11263E-12  9.28226E-12  5.03035E-11  1.94836E-10  5.80339E-10  1.40658E-09
  2.89868E-09  5.25395E-09  8.59653E-09  1.29517E-08  1.82413E-08  2.42947E-08
  3.08689E-08  3.76759E-08  4.44104E-08  5.07794E-08  5.65273E-08  6.14535E-08
  6.54224E-08  6.83654E-08  7.02748E-08  7.11943E-08  7.12058E-08  7.04163E-08
  6.89466E-08  6.69208E-08  6.44594E-08  6.16737E-08  5.86631E-08  5.55138E-08
  5.22978E-08  4.90744E-08  4.58906E-08  4.27831E-08  3.97792E-08  3.68986E-08
  3.41547E-08  3.15555E-08  2.91052E-08  2.68046E-08  2.46522E-08  2.26444E-08
  2.07765E-08  1.90428E-08  1.74368E-08  1.59519E-08  1.45811E-08  1.33175E-08

  jn =   14
  7.36093E-99  1.00633E-77  1.45931E-62  1.31340E-50  3.47129E-41  9.12326E-34
  6.23517E-28  2.24807E-23  7.02724E-20  2.82573E-17  2.47967E-15  7.63976E-14
  1.11530E-12  9.29817E-12  5.03681E-11  1.95051E-10  5.80854E-10  1.40764E-09
  2.90055E-09  5.25758E-09  8.60223E-09  1.29610E-08  1.82542E-08  2.43119E-08
  3.08891E-08  3.76988E-08  4.44357E-08  5.08069E-08  5.65569E-08  6.14849E-08
